id,tag,value,copyCount,author
C1,舔狗日记,舔狗日记/她昨天喊我别熬夜了，我心想，天呐，她居然也会关心我。原来熬夜真的有用，我下次一定还熬。,0,网络
C2,舔狗日记,舔狗日记/所有抱怨社会不公和制度的人翻译过来只有一句话：请给我金钱，女人和社会地位。,0,网络
C3,舔狗日记,舔狗日记/你两天没理我了，我发了很多动态都没引起你的注意，我想了很多，可能我是一条鱼在你的海里游，可能我是一颗草，我也愿意被你割，此刻你在干嘛呢？想你。,0,网络
C4,舔狗日记,舔狗日记/【特别篇】我有一个喜欢得不得了的人，暗恋5年最后还只是止步于朋友的关系，那时觉得不能留下遗憾。可是各奔东西之后自然而然地没有了聊天的借口。如果没有这次疫情我会去上海，去你在的城市，想象着会不会下一个路口抬头就能看见你。如果你的遗憾是我，于我而言还是太奢侈了吧，哪里敢想。,0,网络
C5,舔狗日记,舔狗日记/今天我观战了一天你和别人打游戏，你们玩的很开心，我给你发了200多条消息，你说没流量就不回了，晚上发说说没有人爱你，我连滚带爬评论了句有我在。你把我拉黑了，我给你打电话也无人接听。对不起我不该打扰你。我求求你再给我一次当好友的机会吧！,0,网络
C6,舔狗日记,舔狗日记/心动日记，今天女神发pyq了，我保存了她的照片 说要当壁纸使用 因为我想离她更近一点。结果她说“滚远点！”然后就把我拉黑了。她好贴心，好善良，我真的好感动！疫情期间她怕我被感染 才让我离她远一点 处处为我着想 我真是越来越爱她了！,0,网络
C7,舔狗日记,舔狗日记/今天下了暴雪，我买了暖手宝骑着自行车去找她，看见她坐在他的车里搓手，我迫不及待的敲玻璃，把暖手宝送给了她，她对我笑了笑。她笑的样子真美,0,网络
C8,舔狗日记,"舔狗日记/微信特意给你设置了强提醒功能,明明知道你不会发消息给我.我懂你是爱我的,让我享受一个人的生活,今天我又更加爱贴心的你了.",0,网络
C9,舔狗日记,舔狗日记/我今天下班做兼职跑美团赚了点钱给你买了你喜欢的口红和避孕药放你们房间门口了   玩够了就回来吧 我做饭等你,0,网络
C10,舔狗日记,舔狗日记/今天又下雨了，队长今天告诉我有领导来检查，让我在亭外给出入的车辆敬礼。我最讨厌下雨了，雨水打在脸上有点痛嗷。敬礼敬的手臂都酸了，队长说今天领导因为下雨不来了。我委屈，我想你。,0,网络
C11,舔狗日记,舔狗日记/宝贝，我已经有体面的工作了，今天中午心里想着你多吃了两个大馒头，下午搬砖的手更有力气了。我一定会比其他的工程师更优秀的！为了你什么都愿意，晚上还去你的小区保护你。爱你,0,网络
C12,舔狗日记,舔狗日记/你想我了吧？可以回我消息了吗？我买了万通筋骨贴 你运动一个晚上腰很疼吧？今晚早点回家 我炖了排骨汤 累了一个晚上吧 没事我永远在家等你,0,网络
